0,0,1,8,19,13,1
1,1,3,8,19,17,1
2,2,5,7,19,17,1
3,3,4,7,19,19,1
4,4,6,7,10,13,1
5,5,4,8,10,13,1
6,6,3,7,9,17,1
7,7,4,7,19,17,1
4,8,3,7,9,19,1
9,10,2,7,19,19,1
10,11,4,7,19,13,1
11,12,0,7,19,19,1
12,13,6,7,10,13,1
13,11,3,8,10,17,1
14,11,3,8,19,13,1
15,14,5,7,19,19,1
16,15,1,8,19,17,1
18,16,2,7,19,19,1
20,18,5,8,19,13,1
21,19,1,7,9,17,1
22,20,1,7,10,17,1
24,21,5,7,19,11,1
26,22,3,7,9,13,1
27,23,5,7,10,13,1
12,24,0,7,10,13,1
28,17,4,7,9,17,1
29,25,1,7,19,13,1
30,26,3,8,19,13,1
31,5,1,7,9,17,1
32,27,2,7,9,13,1
16,28,6,8,10,16,1
34,29,3,8,19,19,1
35,30,3,7,19,17,1
36,31,4,7,19,19,1
37,32,5,8,19,13,1
41,35,5,8,19,17,1
42,5,1,8,19,13,1
43,25,5,8,19,13,1
44,5,1,7,9,13,1
46,37,3,7,19,17,1
47,25,1,7,19,17,1
48,38,6,8,10,13,1
47,21,3,8,19,11,1
49,39,2,8,19,17,1
50,16,1,7,19,11,1
51,31,2,7,19,17,1
54,42,6,7,19,13,1
55,21,6,8,19,17,1
39,26,3,7,19,13,1
48,38,3,7,19,19,1
4,4,6,7,10,13,1
56,43,6,8,19,17,1
2,45,1,7,19,17,1
59,3,5,8,19,17,1
61,46,3,8,19,19,1
63,5,5,8,10,13,1
64,16,6,7,10,17,1
65,48,5,7,19,17,1
66,21,2,7,19,19,1
32,49,1,7,10,17,1
67,5,6,8,19,17,1
68,35,1,7,19,19,1
69,50,5,8,19,17,1
70,21,5,8,19,17,1
13,20,5,7,19,13,1
2,5,4,7,19,17,1
71,45,1,7,10,13,1
72,51,1,7,19,19,1
74,52,1,8,19,17,1
22,54,5,8,19,13,1
77,55,5,8,19,11,1
34,16,0,8,19,19,1
78,56,5,7,19,17,1
64,57,6,7,10,17,1
65,21,3,7,10,17,1
79,58,1,7,19,19,1
80,59,2,7,9,17,1
81,28,1,8,19,13,1
39,60,5,7,10,16,1
82,61,3,7,19,17,1
1,5,1,8,19,13,1
83,44,1,7,19,17,1
84,62,4,7,19,14,1
9,0,1,8,19,19,1
86,16,3,8,19,16,1
87,64,5,7,19,13,1
88,66,4,7,19,13,1
89,17,1,8,19,19,1
32,21,3,8,19,13,1
90,67,1,7,9,16,1
33,68,2,7,19,16,1
91,3,3,7,10,16,1
90,67,5,8,19,13,1
53,69,5,7,19,17,1
93,21,6,7,19,12,1
94,70,1,8,19,13,1
95,71,3,7,19,13,1
91,73,2,7,19,14,1
97,16,6,7,10,17,1
38,33,3,8,9,13,1
91,21,6,7,19,12,1
7,75,1,8,19,11,1
99,76,3,7,19,11,1
100,77,5,8,19,17,1
101,21,4,7,19,11,1
102,25,5,8,10,19,1
37,78,3,7,19,16,1
103,5,3,7,19,16,1
104,11,6,7,19,18,1
105,21,2,7,19,17,1
45,79,5,7,19,17,1
106,80,5,8,10,13,1
107,17,6,8,19,17,1
106,81,2,7,19,13,1
108,82,6,7,10,14,1
54,42,4,8,19,13,1
110,83,3,7,19,11,1
111,26,6,7,19,19,1
37,84,4,8,19,17,1
90,67,4,8,19,17,1
113,5,5,8,19,13,1
114,40,5,7,10,17,1
116,86,1,7,19,13,1
119,15,5,7,10,17,1
120,25,5,7,19,13,1
121,90,6,7,19,13,1
51,5,3,7,19,13,1
122,40,5,8,19,19,1
17,10,1,7,19,14,1
33,11,6,7,19,11,1
123,91,2,7,10,13,1
124,33,6,7,10,17,1
126,94,4,8,19,13,1
47,21,5,7,19,11,1
64,40,3,8,9,17,1
22,40,5,8,19,17,1
127,96,2,7,19,17,1
120,97,0,7,19,13,1
128,5,3,7,19,17,1
86,16,5,8,19,11,1
129,25,3,8,19,19,1
130,98,5,7,19,17,1
131,59,1,7,19,13,1
133,28,5,8,19,17,1
134,99,0,8,10,13,1
135,100,6,7,10,17,1
90,21,5,7,10,13,1
68,102,1,7,19,13,1
136,103,3,7,19,17,1
137,104,3,8,19,11,1
138,105,5,8,19,11,1
140,44,6,8,19,19,1
142,5,0,8,10,13,1
143,107,1,7,19,13,1
64,9,0,7,10,17,1
32,59,5,7,19,13,1
146,109,6,7,19,19,1
71,111,4,7,19,17,1
148,113,3,7,19,19,1
68,11,0,8,19,17,1
85,17,5,7,19,13,1
49,39,1,7,10,17,1
4,115,3,8,19,13,1
42,5,4,8,19,19,1
7,116,1,8,19,17,1
57,117,3,7,10,13,1
151,118,1,8,19,13,1
42,119,3,7,19,13,1
152,121,1,7,19,13,1
56,49,5,7,19,17,1
153,122,3,7,19,17,1
86,114,2,8,19,11,1
154,40,3,7,19,17,1
12,124,2,7,10,13,1
